iter	Passed	Remaining
418	2485	3446
419	2491	3439
420	2496	3433
421	2501	3426
422	2508	3421
423	2513	3414
424	2519	3408
425	2524	3402
426	2531	3397
427	2537	3391
428	2543	3385
429	2548	3378
430	2554	3372
431	2560	3366
432	2565	3358
433	2570	3352
434	2575	3345
435	2581	3339
436	2586	3332
437	2591	3325
438	2596	3318
439	2603	3313
440	2609	3307
441	2614	3300
442	2620	3295
443	2626	3288
444	2631	3282
445	2637	3276
446	2643	3269
447	2648	3263
448	2653	3256
449	2658	3249
450	2664	3243
451	2671	3238
452	2676	3232
453	2682	3225
454	2688	3219
455	2693	3212
456	2698	3206
457	2703	3199
458	2709	3193
459	2714	3186
460	2719	3179
461	2724	3173
462	2730	3166
463	2735	3159
464	2740	3153
465	2745	3146
466	2750	3139
467	2757	3134
468	2762	3127
469	2768	3121
470	2773	3115
471	2779	3109
472	2785	3103
473	2790	3096
474	2795	3089
475	2801	3084
476	2806	3077
477	2812	3071
478	2818	3065
479	2823	3058
480	2829	3052
481	2834	3045
482	2839	3039
483	2844	3032
484	2850	3026
485	2855	3019
486	2860	3013
487	2866	3007
488	2871	3000
489	2876	2994
490	2882	2987
491	2888	2982
492	2895	2977
493	2900	2971
494	2905	2964
495	2911	2958
496	2916	2952
497	2922	2945
498	2927	2939
499	2932	2932
500	2937	2925
501	2942	2919
502	2948	2912
503	2953	2906
504	2958	2900
505	2964	2893
506	2969	2887
507	2974	2881
508	2980	2874
509	2985	2868
510	2990	2861
511	2995	2855
512	3000	2848
513	3006	2842
514	3011	2835
515	3016	2829
516	3021	2823
517	3027	2817
518	3033	2811
519	3038	2804
520	3043	2798
521	3048	2791
522	3053	2785
523	3059	2779
524	3064	2772
525	3069	2766
526	3075	2760
527	3080	2753
528	3085	2747
529	3092	2742
530	3099	2737
531	3105	2732
532	3111	2725
533	3116	2719
534	3121	2713
535	3126	2706
536	3131	2700
537	3136	2693
538	3142	2687
539	3147	2681
540	3152	2674
541	3157	2668
542	3162	2662
543	3168	2655
544	3173	2649
545	3178	2643
546	3184	2636
547	3189	2630
548	3195	2625
549	3201	2619
550	3207	2613
551	3212	2607
552	3217	2601
553	3223	2594
554	3228	2588
555	3234	2582
556	3240	2576
557	3245	2570
558	3250	2564
559	3255	2558
560	3261	2552
561	3266	2546
562	3272	2540
563	3278	2534
564	3284	2528
565	3290	2522
566	3295	2516
567	3300	2510
568	3307	2505
569	3314	2500
570	3320	2494
571	3325	2488
572	3331	2482
573	3336	2476
574	3341	2470
575	3347	2463
576	3352	2457
577	3357	2451
578	3363	2445
579	3368	2439
580	3374	2433
581	3379	2426
582	3384	2420
583	3389	2414
584	3395	2408
585	3400	2402
586	3406	2396
587	3411	2390
588	3416	2384
589	3421	2377
590	3427	2371
591	3432	2365
592	3438	2359
593	3443	2353
594	3448	2347
595	3454	2341
596	3459	2335
597	3464	2328
598	3469	2322
599	3474	2316
600	3480	2310
601	3485	2304
602	3490	2298
603	3496	2292
604	3501	2285
605	3506	2279
606	3511	2273
607	3516	2267
608	3521	2261
609	3528	2255
610	3534	2250
611	3539	2244
612	3545	2238
613	3551	2232
