iter	Logloss
0	0.6837235829
1	0.673933358
2	0.6637156666
3	0.6539961382
4	0.6444241498
5	0.6352453073
6	0.6245415666
7	0.6147229805
8	0.6052638396
9	0.597677414
10	0.5894877488
11	0.5815927423
12	0.5723519456
13	0.5645446534
14	0.5556986413
15	0.5473758432
16	0.5407605336
17	0.532021495
18	0.5256514638
19	0.5179926083
20	0.5114735166
21	0.5053129359
22	0.4970710114
23	0.4913515296
24	0.4841902318
25	0.4782156748
26	0.4722714414
27	0.4650319863
28	0.4589733635
29	0.4529993756
30	0.4464186667
31	0.4405581536
32	0.4365618202
33	0.4300865477
34	0.4245306325
35	0.4183893394
36	0.4126745902
37	0.4064234989
38	0.4015002815
39	0.3971827444
40	0.3915907961
41	0.3872577948
42	0.3821845629
43	0.3776538476
44	0.3725530963
45	0.3674381195
46	0.3633903841
47	0.358534045
48	0.3538149607
49	0.3493754522
50	0.3449440506
51	0.3407845587
52	0.336688844
53	0.3325823683
54	0.327703013
55	0.3233402822
56	0.3193124273
57	0.3155922126
58	0.3121520836
59	0.308865667
60	0.3052674313
61	0.3015533785
62	0.2981088007
63	0.2944969713
64	0.2911111944
65	0.2877640497
66	0.2845783428
67	0.2817323209
68	0.278970603
69	0.2756789965
70	0.2724991753
71	0.2692960303
72	0.2658426309
73	0.2634034828
74	0.2607473908
75	0.2578034619
76	0.254891923
77	0.2522909275
78	0.2495448579
79	0.2464008258
80	0.2431946515
81	0.2410029842
82	0.2388881042
83	0.2362506216
84	0.2341057799
85	0.2313738691
86	0.2289711508
87	0.226800328
88	0.2243530395
89	0.2221498718
90	0.2192223167
91	0.2170795741
92	0.2151001962
93	0.2129467712
94	0.2106773671
95	0.2085606527
96	0.2062175168
97	0.2044068078
98	0.2022680919
99	0.2003420406
100	0.1984770369
101	0.1972327197
102	0.1954874128
103	0.1937593524
104	0.1921192137
105	0.1903855383
106	0.1888678056
107	0.186988902
108	0.1854384187
109	0.1836411761
110	0.181475871
111	0.1797687573
112	0.1782358508
113	0.1767561719
114	0.1752096116
115	0.1735505655
116	0.1718738359
117	0.170295462
118	0.1686823869
119	0.1672336627
120	0.1656313576
121	0.1645800812
122	0.1631423985
123	0.1616623331
124	0.1602461873
125	0.1587267595
126	0.1571773935
127	0.156224875
128	0.1556236601
129	0.1544370573
130	0.1528146296
131	0.1517599395
132	0.15047211
133	0.1492072762
134	0.1483978572
135	0.1472150672
136	0.1461928946
137	0.1450155535
138	0.143814706
139	0.1425644371
140	0.1414654367
141	0.1403533988
142	0.1392444553
143	0.1379015408
144	0.1367209098
145	0.1357325485
146	0.1348446458
147	0.1338342614
148	0.1328878175
149	0.1320423699
150	0.1312836686
151	0.1304297947
152	0.1295975819
153	0.1286787495
154	0.1278428609
155	0.1271465264
156	0.1263943977
157	0.1254497411
158	0.1244334082
159	0.1237226044
160	0.1230040204
161	0.1221806248
162	0.1215906987
163	0.1205075176
164	0.1196592507
165	0.1188746164
166	0.1181124734
167	0.1175120663
168	0.1166796745
169	0.1156899141
170	0.1149489015
171	0.1138935142
172	0.1132582499
173	0.1127282401
174	0.1119195438
175	0.1112943629
176	0.1106953106
177	0.1100967283
178	0.1094871569
179	0.1088625377
180	0.1080783891
181	0.1073987017
182	0.1068730342
183	0.1062078083
184	0.1056167267
185	0.1051387483
186	0.1045886888
187	0.1040462408
188	0.1034022634
189	0.1028566609
190	0.1020833978
191	0.101482805
192	0.1007136001
193	0.1001876231
194	0.09965425741
195	0.09907346852
196	0.09852650316
197	0.09774379954
198	0.09715440931
199	0.0965865439
200	0.09602771177
201	0.09551646184
202	0.09490104048
203	0.09439882475
204	0.09372133056
205	0.09303681635
206	0.09259892515
207	0.09212190527
208	0.09159711312
209	0.09113982969
210	0.09058911642
211	0.09007279642
212	0.08982339168
213	0.0891955168
214	0.08853178185
215	0.08802419369
216	0.08755896942
217	0.08710660057
218	0.08677959483
219	0.08633789796
220	0.08593916247
221	0.08549899561
222	0.08508776176
223	0.08468253035
224	0.08434094156
225	0.08384650959
226	0.08347338629
227	0.08295778125
228	0.08237038069
229	0.08179897701
230	0.0813730829
231	0.08095625254
232	0.08060981743
233	0.08017742988
234	0.07975159386
235	0.0793355005
236	0.07906108476
237	0.07862325068
238	0.07814738153
239	0.07777146128
240	0.07737354325
241	0.07703627369
242	0.07667666592
243	0.07627315062
244	0.07594156933
245	0.07567781722
246	0.07526031228
247	0.07497907349
248	0.07454572513
249	0.07421236408
250	0.07383250031
251	0.07343721158
252	0.07298490983
253	0.07260965915
254	0.07213475083
255	0.07183388522
256	0.07124293152
257	0.07086456574
258	0.07051614328
259	0.070118317
260	0.0696966223
261	0.0693713924
262	0.06913018946
263	0.06885844195
264	0.06844177392
265	0.06797450184
266	0.06752792551
267	0.06718654942
268	0.06696953799
269	0.06656623818
270	0.06628883537
271	0.06593953127
272	0.06571564322
273	0.06549405753
274	0.06521632871
275	0.06498448592
276	0.0647269366
277	0.06438819176
278	0.06406399732
279	0.06369911877
280	0.06339494373
281	0.0631565511
282	0.06291057079
283	0.0625901342
284	0.06228971988
285	0.06208434532
286	0.06184800323
287	0.06155121578
288	0.06134738286
289	0.0610830637
290	0.06082100607
291	0.06060512493
292	0.0603675908
293	0.06013333715
294	0.05998722471
295	0.05965461801
296	0.05944469506
297	0.0592678884
298	0.05896337238
299	0.05874645653
300	0.05852287614
301	0.05824689753
302	0.05795558023
303	0.05768966787
304	0.05747032997
305	0.05730468801
306	0.05690067394
307	0.05662355777
308	0.05638469932
309	0.05611051307
310	0.05592640154
311	0.05570626175
312	0.05542474663
313	0.05518053574
314	0.05499740523
315	0.05487883281
316	0.05459828655
317	0.05447015059
318	0.05421894943
319	0.05399806781
320	0.05369693995
321	0.05344930918
322	0.05321883779
323	0.05294817042
